,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
1877,Netherlands,2014,158768.01,720.33,28.72,245.21,29.22,159791.49
1878,New Zealand,2014,35457.8,1409.06,24.74,164.2,73.57,37129.369999999995
1879,Norway,2014,44916.61,203.51,8.24,188.16,17.43,45333.950000000004
1880,Poland,2014,309920.92,1969.88,70.62,746.58,723.58,313431.58
1881,Portugal,2014,47948.44,377.42,11.23,156.65,43.41,48537.15000000001
1882,Republic of Korea,2014,629715.21,26032.44,13878.7,,,669626.3499999999
1883,Romania,2014,77432.42,1201.07,24.57,229.6,191.27,79078.93000000002
1884,Russian Federation,2014,1622348.91,14543.97,266.35,4645.86,684.08,1642489.1700000002
1885,Slovakia,2014,33654.5,173.67,7.1,74.57,44.47,33954.31
1886,Slovenia,2014,13531.94,77.87,2.45,38.97,7.12,13658.350000000002
1887,South Sudan,2014,1776.04,16178.25,15419.04,61.35,6.72,33441.4
1888,Spain,2014,255100.21,1516.33,60.12,844.55,252.48,257773.68999999997
1889,Sweden,2014,43337.56,188.07,15.36,139.14,20.83,43700.96
1890,Switzerland,2014,39234.43,200.14,9.67,76.95,7.29,39528.479999999996
1891,Turkey,2014,361675.46,2292.19,115.03,800.18,2146.03,367028.8900000001
1892,Tuvalu,2014,11.16,2.28,5.0,0.1,0.0,18.54
1893,Ukraine,2014,257584.69,2750.36,118.44,673.81,879.96,262007.25999999998
1894,United Arab Emirates,2014,188884.9,10543.89,449.82,,,199878.61
1895,United Kingdom of Great Britain and Northern Ireland,2014,439763.28,2157.23,65.46,1042.98,325.37,443354.32
1896,United States of America,2014,5561719.22,25560.44,1507.6,10628.41,4240.14,5603655.81
1897,Uruguay,2014,6824.5,16240.27,9202.07,52.9,41.8,32361.54
1898,Australia,2015,401554.76,4214.75,65.63,2531.84,2384.65,410751.63000000006
1899,Austria,2015,66283.24,268.08,11.84,174.66,13.88,66751.70000000001
1900,Belarus,2015,58633.06,639.95,46.35,2.17,4.48,59326.009999999995
1901,Belgium,2015,100981.34,325.09,20.25,194.37,40.8,101561.84999999999
1902,Botswana,2015,7435.22,4067.23,12475.14,8.43,,23986.02
1903,Brazil,2015,504747.0,346019.1,175884.7,2077.6,,1028728.4
1904,Bulgaria,2015,48194.28,298.02,16.9,136.3,427.55,49073.05
1905,Burundi,2015,158.62,1162.67,386.0,,,1707.29
1906,Canada,2015,575906.94,3821.7,122.45,,,579851.0899999999
1907,Croatia,2015,17840.75,157.86,6.21,51.06,15.69,18071.57
1908,Cyprus,2015,6960.13,33.3,0.95,15.55,13.07,7023.0
1909,Czechia,2015,104815.38,557.76,20.71,178.8,129.33,105701.98000000001
1910,Denmark,2015,36493.99,288.05,18.15,116.75,10.59,36927.53
