,Country,Year,CO2 Emissions (kt),CH4 Emissions (kt),N2O Emissions (kt),NOx Emissions (kt),SO2 Emissions (kt),Total Emissions (kt)
0,Albania,1990,3101.66,1143.87,96.1,17.85,0.57,4360.05
1,Antigua and Barbuda,1990,288.14,98.91,1.58,,2.83,391.4599999999999
2,Argentina,1990,100867.5,76790.2,51823.68,509.26,79.2,230069.84000000003
3,Armenia,1990,21615.96,3169.3,169.57,76.59,0.39,25031.809999999998
4,Australia,1990,278424.66,4975.33,53.48,1620.79,1585.75,286660.00999999995
5,Austria,1990,62124.7,415.66,14.5,216.37,73.63,62844.86
6,Azerbaijan,1990,55893.73,13459.35,3772.7,0.08,,73125.86
7,Bahamas,1990,1894.2,21.0,,,,1915.2
8,Barbados,1990,1564.22,1662.57,49.6,2.38,,3278.77
9,Belarus,1990,103689.71,698.34,55.77,1.38,3.5,104448.70000000001
10,Belgium,1990,120309.34,488.61,33.8,424.16,364.75,121620.66
11,Bolivia (Plurinational State of),1990,5386.19,9351.72,576.6,37.02,11.16,15362.69
12,Bosnia and Herzegovina,1990,26461.07,4454.52,3127.9,83.07,453.16,34579.72
13,Brazil,1990,213555.0,232927.8,103022.3,1170.5,,550675.6
14,Bulgaria,1990,76698.98,637.47,30.72,257.33,446.05,78070.55
15,Canada,1990,462117.35,3619.4,130.42,,,465867.17
16,Chile,1990,33289.7,10831.8,5797.0,130.1,255.2,50303.799999999996
17,Colombia,1990,49706.5,44386.44,24636.63,232.13,141.81,119103.51000000001
18,Costa Rica,1990,2749.3,3157.23,184.83,30.59,,6121.950000000001
19,Croatia,1990,23329.25,175.3,9.78,100.79,168.12,23783.239999999998
20,Cuba,1990,33899.58,7318.71,6423.2,139.69,477.49,48258.67
21,Cyprus,1990,4656.89,26.46,0.98,16.99,31.75,4733.07
22,Czechia,1990,164204.21,941.12,31.5,727.61,1754.55,167658.98999999996
23,Democratic People's Republic of Korea,1990,178713.0,24801.0,4030.0,459.0,3121.0,211124.0
24,Denmark,1990,54845.67,317.68,27.42,305.42,179.06,55675.24999999999
25,Dominican Republic,1990,8762.93,3039.75,838.24,54.12,77.06,12772.1
26,Ecuador,1990,14252.93,13048.77,151345.1,128.14,,178774.94000000003
27,Egypt,1990,84235.0,22174.74,10329.82,,,116739.56
28,Estonia,1990,36907.24,76.05,4.93,95.56,222.03,37305.81
29,Ethiopia,1990,2307.0,37611.0,3100.0,158.0,11.1,43187.1
30,Finland,1990,56971.87,307.38,21.33,298.29,250.34,57849.21
31,France,1990,403307.24,2795.09,222.75,2114.01,1320.52,409759.61000000004
32,Georgia,1990,35520.0,2545.2,622.85,128.47,,38816.52
33,Germany,1990,1052348.54,4847.7,209.81,2887.11,5442.58,1065735.7400000002
34,Ghana,1990,2861.8,3005.81,2813.56,,,8681.17
35,Greece,1990,83425.55,441.69,25.05,315.35,510.95,84718.59000000001
36,Guatemala,1990,4245.07,4087.86,6409.25,42.58,74.5,14859.26
37,Guyana,1990,1439.0,891.03,223.2,15.0,7.5,2575.7299999999996
38,Hungary,1990,73464.85,468.87,28.11,245.11,829.73,75036.67
39,Iceland,1990,2247.8,24.42,1.27,30.89,24.03,2328.4100000000003
40,Indonesia,1990,142688.19,106113.0,18017.2,17.41,,266835.8
41,Ireland,1990,32944.33,590.43,25.94,172.73,182.93,33916.36000000001
42,Italy,1990,438008.8,1929.9,87.37,2127.05,1783.86,443936.98
43,Japan,1990,1158391.31,1776.74,106.97,1976.83,1250.0,1163501.85
44,Kazakhstan,1990,281213.95,4116.29,59.56,713.56,1043.89,287147.25
45,Kyrgyzstan,1990,20531.57,5357.07,2503.84,78.66,92.65,28563.79
46,Lao People's Democratic Republic,1990,414.91,6414.45,37.2,4.18,,6870.74
47,Latvia,1990,19504.13,143.8,10.7,95.66,100.45,19854.74
48,Liechtenstein,1990,198.97,0.77,0.03,,,199.77
49,Lithuania,1990,35771.82,280.24,17.58,155.89,185.14,36410.67
50,Luxembourg,1990,11847.64,23.27,1.04,41.03,15.75,11928.730000000001
51,Malawi,1990,669.25,7043.61,331.7,28.7,,8073.259999999999
52,Malaysia,1990,52140.59,9964.91,5262.38,,,67367.88
53,Malta,1990,2408.46,4.21,0.19,7.43,10.26,2430.55
54,Mexico,1990,307419.22,64211.08,31350.47,,,402980.77
55,Monaco,1990,98.23,0.09,0.01,0.57,0.13,99.03
56,Mongolia,1990,13650.0,5636.4,31.0,2.3,,19319.7
57,Montenegro,1990,2491.41,606.04,382.85,7.66,13.95,3501.9099999999994
58,Mozambique,1990,1083.12,4983.93,716.1,75.94,,6859.09
59,Netherlands,1990,162385.11,1273.89,60.51,587.21,187.18,164493.9
60,New Zealand,1990,25446.29,1291.5,16.53,101.71,57.06,26913.09
61,Niger,1990,598.47,3436.34,817.56,,,4852.370000000001
62,North Macedonia,1990,10287.59,1718.01,1251.73,41.41,2.98,13301.72
63,Norway,1990,35321.33,241.28,13.8,201.63,49.73,35827.770000000004
64,Paraguay,1990,2270.22,16922.95,37003.78,79.04,0.3,56276.29
65,Poland,1990,376546.52,2791.88,95.96,1089.52,2652.31,383176.19000000006
66,Portugal,1990,45082.97,383.61,13.04,251.03,317.64,46048.29
67,Republic of Korea,1990,252328.67,30300.9,9154.61,,,291784.18
68,Republic of Moldova,1990,35333.69,4872.37,3212.81,137.38,294.78,43851.03
69,Romania,1990,169285.87,2400.7,53.29,484.53,798.15,173022.54
70,Russian Federation,1990,2525293.78,18549.43,490.08,8006.17,812.01,2553151.4699999997
71,Saint Vincent and the Grenadines,1990,81.51,62.11,248.56,28.78,0.25,421.21000000000004
72,Saudi Arabia,1990,138265.5,16526.99,10476.48,,,165268.97
73,Serbia,1990,62969.97,9081.66,8751.3,207.28,491.0,81501.21
74,Slovakia,1990,61633.46,290.2,14.48,134.52,149.16,62221.82
75,Slovenia,1990,15093.84,101.76,2.53,72.06,200.5,15470.69
76,South Africa,1990,280931.77,43114.89,23302.7,,,347349.36000000004
77,Spain,1990,231213.56,1424.37,61.38,1421.22,2116.56,236237.09
78,Sweden,1990,57348.82,296.75,19.26,277.11,103.3,58045.240000000005
79,Switzerland,1990,44154.42,241.76,11.16,144.15,36.63,44588.12
80,Tajikistan,1990,17695.0,3696.0,2790.0,74.0,34.0,24289.0
81,Trinidad and Tobago,1990,14987.0,686.55,332.63,36.56,8.75,16051.489999999998
82,Turkey,1990,151508.47,1696.2,83.32,254.37,1687.31,155229.67
83,Ukraine,1990,705829.99,7302.91,179.31,2273.62,1652.18,717238.0100000001
84,United Kingdom of Great Britain and Northern Ireland,1990,601187.19,5322.42,155.07,3085.66,3780.88,613531.22
85,United Republic of Tanzania,1990,3249.37,20656.83,15082.65,156.68,162.13,39307.659999999996
86,United States of America,1990,5128300.62,30976.38,1458.47,21710.71,20935.45,5203381.63
87,Uruguay,1990,3897.33,14506.8,7254.0,44.52,43.8,25746.449999999997
88,Uzbekistan,1990,113286.32,54188.2,12840.8,411.79,654.19,181381.30000000002
89,Albania,1991,5166.7,1183.56,136.4,21.11,0.91,6508.679999999999
90,Australia,1991,279872.66,4972.35,52.21,1596.16,1570.78,288064.16
91,Austria,1991,65725.53,410.66,14.61,225.94,70.66,66447.40000000001
92,Azerbaijan,1991,51901.46,12482.4,1925.1,,,66308.96
93,Belarus,1991,96647.13,655.49,54.2,1.38,3.54,97361.74
94,Belgium,1991,123382.08,487.15,33.36,425.13,367.21,124694.93000000001
95,Bosnia and Herzegovina,1991,23850.3,4345.53,2600.9,77.15,397.98,31271.86
96,Brazil,1991,224675.0,240124.5,106320.7,1239.1,,572359.2999999999
97,Bulgaria,1991,61232.6,597.88,24.05,188.28,375.1,62417.909999999996
98,Canada,1991,452494.72,3688.93,125.44,,,456309.08999999997
99,Croatia,1991,17182.3,169.4,9.25,75.44,99.6,17535.989999999998
100,Cyprus,1991,5146.61,26.92,0.99,17.22,33.05,5224.79
101,Czechia,1991,148894.13,878.39,27.01,692.48,1650.35,152142.36000000004
102,Denmark,1991,65428.35,325.07,26.89,355.34,239.69,66375.34
103,Estonia,1991,33901.77,72.91,4.8,87.9,202.9,34270.280000000006
104,Ethiopia,1991,1879.0,38388.0,4340.0,151.0,9.1,44767.1
105,Finland,1991,55230.4,306.66,19.86,290.01,202.29,56049.22000000001
106,France,1991,428927.11,2823.37,224.59,2170.11,1420.34,435565.52
107,Georgia,1991,28131.8,6208.44,2006.94,109.85,,36457.03
108,Germany,1991,1014199.72,4600.77,202.54,2657.63,3974.57,1025635.23
109,Ghana,1991,2377.12,3350.05,2520.61,,,8247.78
110,Greece,1991,83401.12,441.64,24.59,326.04,503.21,84696.59999999999
111,Guyana,1991,1439.0,901.53,223.2,15.0,7.5,2586.2299999999996
112,Hungary,1991,69784.52,458.12,19.12,214.7,832.66,71309.12
113,Iceland,1991,2128.41,24.32,1.23,29.6,22.33,2205.89
114,Indonesia,1991,155100.4,119536.2,17973.8,17.47,,292627.86999999994
115,Ireland,1991,33674.01,597.62,25.11,174.98,183.15,34654.87000000001
116,Italy,1991,437538.6,1965.06,90.78,2194.19,1672.65,443461.28
117,Japan,1991,1170065.73,1730.39,105.97,2024.96,1241.0,1175168.0499999998
118,Kazakhstan,1991,271741.01,4012.73,56.79,663.09,1028.12,277501.74
119,Kyrgyzstan,1991,17598.99,5335.68,2610.85,67.76,84.71,25697.989999999998
120,Latvia,1991,17783.12,141.98,10.32,92.11,81.68,18109.21
121,Liechtenstein,1991,206.33,0.77,0.03,,,207.13000000000002
122,Lithuania,1991,37851.59,271.82,18.01,151.12,210.72,38503.26
123,Luxembourg,1991,12465.79,23.77,1.08,46.86,15.96,12553.460000000001
124,Malaysia,1991,62312.48,26472.72,5805.77,,,94590.97000000002
125,Malta,1991,2255.39,4.48,0.19,7.64,11.12,2278.8199999999997
126,Mexico,1991,318877.87,66616.76,30231.62,,,415726.25
127,Monaco,1991,98.91,0.08,0.01,0.62,0.12,99.74000000000001
128,Mongolia,1991,12141.0,5508.3,31.0,2.3,,17682.6
129,Montenegro,1991,2585.54,600.68,385.95,9.45,15.28,3596.8999999999996
130,Netherlands,1991,170796.38,1290.11,61.09,446.26,108.09,172701.93
131,New Zealand,1991,26110.38,1296.49,16.8,102.98,55.25,27581.9
132,North Macedonia,1991,9576.21,1702.17,1218.5,37.11,2.7,12536.69
133,Norway,1991,33816.46,239.1,13.27,196.05,42.48,34307.36
134,Poland,1991,373793.32,2596.41,81.48,1072.5,2564.39,380108.1
135,Portugal,1991,46960.26,388.5,12.91,265.04,308.02,47934.73
136,Republic of Korea,1991,275230.29,30205.14,9672.0,,,315107.43
137,Republic of Moldova,1991,31049.99,4723.61,2973.8,117.94,256.04,39121.380000000005
138,Romania,1991,139370.25,2053.34,37.55,427.81,722.97,142611.91999999998
139,Russian Federation,1991,2395977.96,17644.54,456.68,7645.87,735.78,2422460.83
140,Slovakia,1991,53437.9,278.3,11.38,120.37,144.08,53992.030000000006
141,Slovenia,1991,14001.24,97.94,2.35,66.43,185.9,14353.86
142,Spain,1991,240953.02,1378.94,59.23,1462.4,2132.59,245986.18
143,Sweden,1991,57707.22,296.6,18.85,282.39,101.7,58406.759999999995
144,Switzerland,1991,46133.82,238.92,11.12,141.0,36.33,46561.19
145,Tajikistan,1991,17134.0,3738.0,3100.0,76.0,31.0,24079.0
146,Turkey,1991,157982.0,1731.41,82.64,272.83,1778.13,161847.01
147,Ukraine,1991,632536.63,6987.77,161.98,1907.36,1362.99,642956.73
148,United Kingdom of Great Britain and Northern Ireland,1991,609266.0,5352.46,155.8,2991.77,3609.35,621375.38
149,United States of America,1991,5078889.58,31154.42,1425.6,21386.41,20298.46,5153154.47
150,Uzbekistan,1991,113301.74,56499.3,13354.7,379.2,585.59,184120.53000000003
151,Albania,1992,3311.06,1161.72,108.5,15.63,0.6,4597.51
152,Australia,1992,284912.44,4949.66,51.57,1642.04,1652.95,293208.66
153,Austria,1992,60204.07,399.27,13.98,214.48,54.13,60885.93
154,Azerbaijan,1992,44546.68,10730.37,2132.8,,,57409.850000000006
155,Belarus,1992,88662.01,604.63,48.47,1.22,2.89,89319.22
156,Belgium,1992,122507.84,483.97,32.43,427.0,358.34,123809.57999999999
157,Bosnia and Herzegovina,1992,5933.32,3037.02,1596.5,27.43,124.8,10719.07
158,Brazil,1992,226821.0,244379.1,108732.5,1277.1,,581209.7
159,Bulgaria,1992,57010.43,586.45,20.31,180.25,386.88,58184.31999999999
160,Canada,1992,467037.42,3861.38,127.29,,,471026.08999999997
161,Croatia,1992,16506.08,151.04,9.21,71.2,104.35,16841.88
162,Cuba,1992,21598.81,7317.66,4349.3,,,33265.770000000004
163,Cyprus,1992,5522.91,27.65,1.09,19.32,37.91,5608.879999999999
164,Czechia,1992,144619.02,824.93,24.18,651.43,1381.94,147501.49999999997
165,Denmark,1992,59595.59,327.85,26.05,310.93,185.11,60445.53
166,Estonia,1992,24370.46,63.26,3.99,58.38,147.15,24643.24
167,Ethiopia,1992,2073.0,36960.0,4650.0,153.0,9.1,43845.1
168,Finland,1992,54285.53,304.68,18.42,282.18,158.1,55048.909999999996
169,France,1992,418231.02,2816.39,223.43,2152.47,1289.76,424713.07
170,Georgia,1992,17119.4,4871.24,1631.84,45.78,,23668.26
171,Germany,1992,965889.81,4457.42,206.74,2503.82,3246.36,976304.15
172,Ghana,1992,2897.7,3227.07,2473.8,,,8598.57
173,Greece,1992,84982.71,444.68,24.06,333.17,518.51,86303.12999999999
174,Guyana,1992,1439.0,907.83,223.2,15.0,7.5,2592.5299999999997
175,Hungary,1992,62415.94,406.09,14.91,192.93,715.44,63745.310000000005
176,Iceland,1992,2274.27,24.74,1.18,31.96,24.72,2356.8699999999994
177,Indonesia,1992,165505.55,122351.04,18972.0,19.85,,306848.43999999994
178,Ireland,1992,33494.93,602.12,24.84,183.38,170.92,34476.189999999995
179,Italy,1992,437829.8,1959.08,89.22,2233.25,1574.23,443685.57999999996
180,Japan,1992,1179740.1,1764.75,106.55,1996.19,1199.47,1184807.06
181,Kazakhstan,1992,246741.37,3828.66,59.34,653.26,902.66,252185.29
182,Kyrgyzstan,1992,14601.29,4874.77,2621.79,56.48,69.21,22223.54
183,Latvia,1992,14079.83,122.36,8.44,74.96,69.79,14355.380000000001
184,Liechtenstein,1992,206.95,0.75,0.03,,,207.73
185,Lithuania,1992,21200.58,237.09,12.34,103.89,110.23,21664.13
186,Luxembourg,1992,12232.16,23.13,1.11,46.79,15.57,12318.76
187,Malaysia,1992,67718.14,27866.28,6454.0,,,102038.42
188,Malta,1992,2314.9,4.76,0.19,8.73,11.63,2340.2100000000005
189,Mexico,1992,321246.52,65846.65,29841.76,,,416934.93000000005
190,Monaco,1992,104.51,0.08,0.01,0.82,0.13,105.55
191,Mongolia,1992,10529.0,5445.3,31.0,2.5,,16007.8
192,Montenegro,1992,2143.69,573.87,362.7,2.51,12.74,3095.5099999999998
193,Netherlands,1992,170630.24,1274.56,61.94,433.47,105.11,172505.31999999998
194,New Zealand,1992,28105.07,1281.53,16.92,112.39,60.16,29576.069999999996
195,North Macedonia,1992,8935.91,1725.23,1219.15,32.19,2.38,11914.859999999999
196,Norway,1992,34734.75,242.06,11.48,200.08,37.0,35225.37
197,Poland,1992,364677.87,2524.18,75.73,1056.7,2318.19,370652.67
198,Portugal,1992,50889.17,390.48,12.79,285.54,366.45,51944.43
199,Republic of Korea,1992,299001.71,29596.98,12291.5,,,340890.19
200,Republic of Moldova,1992,21804.86,4585.21,2364.4,78.45,170.02,29002.940000000002
201,Romania,1992,131072.28,1887.9,37.61,462.93,759.69,134220.40999999997
202,Russian Federation,1992,1957658.89,16514.65,414.44,6186.49,650.6,1981425.0699999998
203,Slovakia,1992,49029.14,252.95,9.31,112.83,141.21,49545.439999999995
204,Slovenia,1992,14006.75,98.62,2.56,66.75,193.0,14367.68
205,Spain,1992,249813.19,1407.05,57.58,1503.19,2109.31,254890.31999999998
206,Sweden,1992,57451.49,302.0,18.34,270.7,94.96,58137.48999999999
207,Switzerland,1992,46009.7,235.61,10.94,134.22,33.9,46424.37
208,Tajikistan,1992,14073.0,3420.9,2790.0,53.3,28.1,20365.3
209,Togo,1992,825.5,794.64,2638.1,15.0,,4273.24
210,Turkey,1992,163922.25,1727.72,84.35,298.33,1814.51,167847.16
211,Ukraine,1992,589060.25,6670.46,150.06,1620.51,1268.23,598769.51
212,United Kingdom of Great Britain and Northern Ireland,1992,593745.97,5339.63,139.32,2930.35,3553.5,605708.7699999999
213,United States of America,1992,5182706.72,31110.16,1423.99,21458.95,20032.79,5256732.61
214,Uzbekistan,1992,106305.61,56664.1,13329.7,346.16,463.5,177109.07
215,Albania,1993,3235.47,1256.43,96.1,16.16,0.61,4604.7699999999995
216,Australia,1993,289235.19,4804.72,53.14,1684.87,1743.16,297521.07999999996
217,Austria,1993,60635.42,395.9,14.08,205.89,52.75,61304.04
218,Azerbaijan,1993,39136.42,9874.62,1701.9,,,50712.94
219,Belarus,1993,76380.05,572.36,48.96,1.03,2.27,77004.67000000001
220,Belgium,1993,121444.2,481.86,33.35,421.31,332.91,122713.63
221,Bosnia and Herzegovina,1993,2208.48,1053.99,747.1,6.0,29.19,4044.76
222,Brazil,1993,235656.0,245527.8,110961.4,1319.4,,593464.6
223,Bulgaria,1993,57675.64,543.91,18.34,178.73,385.18,58801.8
224,Canada,1993,467406.41,3995.66,127.25,,,471529.31999999995
225,Chad,1993,309.65,6937.6,773.85,75.74,,8096.84
226,Chile,1993,34963.9,8084.16,7123.8,162.33,2005.6,52339.79
227,Croatia,1993,16959.78,147.78,7.87,71.48,111.96,17298.869999999995
228,Cyprus,1993,5766.97,28.63,1.15,19.66,40.12,5856.53
229,Czechia,1993,138637.29,788.63,21.68,529.85,1302.88,141280.33000000002
230,Denmark,1993,61682.6,335.45,25.26,309.47,150.06,62502.84
231,Estonia,1993,18910.36,53.74,3.12,49.72,116.32,19133.260000000002
232,Ethiopia,1993,2401.0,37044.0,4650.0,166.0,11.1,44272.1
233,Finland,1993,56352.55,306.29,18.97,286.33,138.12,57102.26000000001
234,France,1993,397655.36,2831.38,220.7,2046.52,1128.51,403882.47000000003
235,Gambia,1993,181.06,4010.74,66.01,2.34,,4260.150000000001
236,Georgia,1993,9775.3,3747.16,1077.87,30.31,,14630.639999999998
237,Germany,1993,956233.11,4481.78,197.85,2400.99,2910.79,966224.52
238,Ghana,1993,3123.85,3314.01,2526.5,,,8964.36
239,Greece,1993,84296.37,446.06,22.19,329.8,508.89,85603.31
240,Guyana,1993,1439.0,922.53,223.2,15.0,7.5,2607.2299999999996
241,Hungary,1993,63632.76,384.14,15.53,192.5,719.99,64944.92
242,Iceland,1993,2432.16,25.41,1.2,33.66,24.76,2517.1899999999996
243,Indonesia,1993,175681.85,124257.84,18717.8,20.36,,318677.85
244,Ireland,1993,33716.18,602.76,25.25,175.36,161.95,34681.5
245,Italy,1993,430179.96,1971.34,90.71,2129.41,1471.75,435843.17000000004
246,Japan,1993,1172647.31,1601.02,106.09,1981.67,1155.2,1177491.29
247,Kazakhstan,1993,219390.01,3466.41,55.13,581.86,808.8,224302.21
248,Kyrgyzstan,1993,11719.26,4242.95,1700.78,45.18,55.15,17763.32
249,Latvia,1993,11818.64,93.59,6.98,65.5,65.74,12050.449999999999
250,Liechtenstein,1993,215.03,0.72,0.03,,,215.78
251,Lithuania,1993,16348.05,207.1,10.76,78.92,96.82,16741.649999999994
252,Luxembourg,1993,12372.81,23.32,1.08,44.59,16.5,12458.3
253,Malaysia,1993,73579.68,31781.65,7220.3,,,112581.62999999999
254,Malta,1993,2891.13,5.05,0.2,8.78,11.7,2916.86
255,Mexico,1993,321858.04,70593.27,30407.08,,,422858.39
256,Monaco,1993,103.6,0.06,0.01,0.65,0.13,104.45
257,Mongolia,1993,9913.2,5279.4,31.0,2.5,,15226.1
258,Montenegro,1993,1691.1,554.21,342.55,4.65,8.21,2600.7200000000003
259,Netherlands,1993,170817.55,1257.36,62.86,418.57,102.34,172658.67999999996
260,New Zealand,1993,27699.46,1289.93,17.63,113.91,58.54,29179.47
261,North Macedonia,1993,9359.09,1735.54,1195.11,36.0,1.91,12327.650000000001
262,Norway,1993,36224.2,247.1,12.15,204.56,35.55,36723.56
263,Poland,1993,365370.7,2448.73,79.17,1061.71,2304.07,371264.38
264,Portugal,1993,49391.9,392.83,12.5,275.1,309.46,50381.79
265,Republic of Korea,1993,334403.67,29031.66,12818.5,,,376253.82999999996
266,Republic of Moldova,1993,16569.55,4317.9,2330.58,63.13,145.54,23426.7
267,Romania,1993,122832.31,1820.46,39.85,406.84,694.65,125794.11
268,Russian Federation,1993,1859459.63,15779.66,378.33,5890.42,559.25,1882067.2899999998
269,Slovakia,1993,46484.22,243.11,7.75,108.95,135.74,46979.77
270,Slovenia,1993,14303.47,94.23,2.44,70.31,189.95,14660.4
271,Spain,1993,241195.18,1401.92,53.62,1458.78,2009.38,246118.88
272,Sri Lanka,1993,4779.0,16107.0,7440.0,52.0,42.0,28420.0
273,Sweden,1993,57493.45,301.04,19.04,259.06,84.38,58156.969999999994
274,Switzerland,1993,43601.02,231.23,11.25,122.21,28.98,43994.69
275,Tajikistan,1993,11826.0,3402.0,2790.0,42.0,25.0,18085.0
276,Togo,1993,546.9,820.05,3258.1,16.0,,4641.049999999999
277,Turkey,1993,171011.16,1718.63,87.04,294.84,1699.13,174810.80000000002
278,Ukraine,1993,510199.54,6332.76,140.67,1384.41,1228.68,519286.05999999994
279,United Kingdom of Great Britain and Northern Ireland,1993,579506.69,5276.15,125.11,2761.63,3215.33,590884.9099999999
280,United States of America,1993,5283437.6,30638.51,1518.02,21546.5,19752.47,5356893.099999999
281,Uzbekistan,1993,106809.0,83492.1,12747.6,319.63,377.14,203745.47000000003
282,Albania,1994,3500.49,1309.77,96.1,18.85,0.57,4925.780000000001
283,Algeria,1994,63705.0,18753.0,9300.0,242.0,39.69,92039.69
284,Argentina,1994,117595.97,82725.07,56689.61,638.92,99.97,257749.54000000004
285,Australia,1994,294014.96,4673.4,54.75,1686.93,1764.91,302194.95
286,Austria,1994,61002.44,384.3,13.92,197.52,47.11,61645.29
287,Azerbaijan,1994,34272.68,9233.28,1429.1,,,44935.06
288,Bahamas,1994,1866.2,21.0,310.0,,,2197.2
289,Bahrain,1994,16483.0,2945.04,40.92,57.46,1177.63,20704.05
290,Bangladesh,1994,16459.73,25007.66,4458.76,,,45926.15
291,Barbados,1994,1913.38,1787.52,49.6,0.09,0.18,3750.77
292,Belarus,1994,62367.89,542.35,41.79,0.94,2.23,62955.200000000004
293,Belgium,1994,124816.9,483.68,34.71,416.92,290.48,126042.68999999999
294,Belize,1994,598.07,5565.82,171.12,3.99,0.53,6339.529999999999
295,Bhutan,1994,228.46,403.83,660.3,0.72,0.05,1293.36
296,Bolivia (Plurinational State of),1994,8146.25,11673.69,858.7,48.38,13.03,20740.050000000003
297,Bosnia and Herzegovina,1994,2426.14,1195.11,852.5,6.57,31.66,4511.98
298,Botswana,1994,3014.5,4238.68,2038.56,,,9291.74
299,Brazil,1994,245012.0,250443.9,114938.7,1390.7,,611785.2999999999
300,Bulgaria,1994,56083.53,468.14,17.83,169.52,373.25,57112.27
301,Burkina Faso,1994,902.0,4700.44,365.8,8.37,,5976.61
302,Cambodia,1994,1321.93,7773.36,3667.3,19.44,25.69,12807.720000000001
303,Cameroon,1994,2769.52,17709.34,145246.16,250.0,2.53,165977.55000000002
304,Canada,1994,482436.58,4148.95,137.17,,,486722.7
